Coordinate Projection,GDA94/MGA Zone 56,,,,,,
Block,Profile,Year/Date,Chainage,Elevation,Easting,Northing,Survey Type
1,1,1940,0,12.428,341856.01,6261635,Stereo photogrammetry
1,1,1940,3.865,12.428,341859.63,6261633.64,Stereo photogrammetry
1,1,1940,7.126,12.428,341862.68,6261632.49,Stereo photogrammetry
1,1,1940,13.93,8.111,341869.05,6261630.1,Stereo photogrammetry
1,1,1940,19.358,7.789,341874.14,6261628.2,Stereo photogrammetry
1,1,1940,37.903,6.858,341891.49,6261621.68,Stereo photogrammetry
1,1,1940,38.771,5.301,341892.31,6261621.39,Stereo photogrammetry
1,1,1940,51.972,4.488,341904.67,6261616.74,Stereo photogrammetry
1,1,1940,73.274,3.557,341924.61,6261609.26,Stereo photogrammetry
1,1,1940,96.889,2.609,341946.73,6261600.97,Stereo photogrammetry
1,1,1940,96.889,2.609,341946.73,6261600.97,Stereo photogrammetry
1,1,5/1/1951,0,10.149,341855.99,6261635,Stereo photogrammetry
1,1,5/1/1951,5.226,10.149,341860.89,6261633.17,Stereo photogrammetry
1,1,5/1/1951,10.205,8.484,341865.55,6261631.42,Stereo photogrammetry
1,1,5/1/1951,16.062,7.06,341871.03,6261629.37,Stereo photogrammetry
1,1,5/1/1951,23.746,6.284,341878.23,6261626.67,Stereo photogrammetry
1,1,5/1/1951,29.546,6.114,341883.66,6261624.63,Stereo photogrammetry
1,1,5/1/1951,34.665,5.367,341888.45,6261622.83,Stereo photogrammetry
1,1,5/1/1951,35.448,4.309,341889.18,6261622.56,Stereo photogrammetry
1,1,5/1/1951,42.285,3.942,341895.59,6261620.16,Stereo photogrammetry
1,1,5/1/1951,53.311,3.208,341905.91,6261616.28,Stereo photogrammetry
1,1,5/1/1951,53.311,3.208,341905.91,6261616.28,Stereo photogrammetry
1,1,6/28/1961,0,8.944,341856,6261635,Stereo photogrammetry
1,1,6/28/1961,4.67,8.93,341860.37,6261633.36,Stereo photogrammetry
1,1,6/28/1961,7.79,7.968,341863.29,6261632.26,Stereo photogrammetry
1,1,6/28/1961,10.846,7.219,341866.16,6261631.2,Stereo photogrammetry
1,1,6/28/1961,13.823,6.377,341868.94,6261630.15,Stereo photogrammetry
1,1,6/28/1961,18.984,5.428,341873.77,6261628.33,Stereo photogrammetry
1,1,6/28/1961,25.635,5.374,341880,6261626,Stereo photogrammetry
1,1,6/28/1961,32.574,5.067,341886.5,6261623.57,Stereo photogrammetry
1,1,6/28/1961,34.272,4.866,341888.09,6261622.96,Stereo photogrammetry
1,1,6/28/1961,35.029,3.596,341888.8,6261622.71,Stereo photogrammetry
1,1,6/28/1961,47.345,2.955,341900.33,6261618.38,Stereo photogrammetry
1,1,6/28/1961,56.367,2.701,341908.78,6261615.22,Stereo photogrammetry
