Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
1940-01-02,7.489383124,7.492788892,7.496387494,7.515871018,7.516941274,7.535716039,7.545089219,7.549232757,7.55551643
1940-01-03,5.479013276,5.479251963,5.478818178,5.480538591,5.480519718,5.481538545,5.482486169,5.482984406,5.483848413
1940-01-04,6.420172485,6.419621994,6.41301653,6.415515231,6.411097362,6.402992562,6.401411744,6.401489601,6.402669319
1940-01-05,6.801605915,6.800953036,6.790897543,6.796114219,6.789993302,6.782198,6.781749945,6.782613351,6.785373644
1940-01-06,6.950942889,6.950058749,6.933025402,6.943586649,6.931471018,6.912523635,6.909973031,6.911013144,6.915553441
1940-01-07,5.482588834,5.481810339,5.481582046,5.475192743,5.47459944,5.46318356,5.457294653,5.454752025,5.450979022
1940-01-08,5.721648541,5.721380166,5.721321378,5.71831289,5.717031057,5.70538063,5.700192473,5.698179269,5.695509375
1940-01-09,6.829882205,6.829420816,6.822473213,6.825710884,6.821153413,6.814264118,6.812608608,6.812558424,6.813414084
1940-01-10,7.927856374,7.922863789,7.885368637,7.886996271,7.865800514,7.833189719,7.82239537,7.82016935,7.820273418
1940-01-11,7.926924452,7.924283707,7.907024631,7.906163102,7.898256773,7.891359263,7.889597498,7.889617078,7.890738099
1940-01-12,5.320667424,5.320853614,5.322683201,5.320252603,5.322955287,5.324401071,5.324419945,5.324103874,5.323181109
1940-01-13,5.540207757,5.540109268,5.540037614,5.538785466,5.538992488,5.537041971,5.53607167,5.535637169,5.534970639
1940-01-14,5.768535792,5.768237496,5.765016149,5.765358521,5.763715477,5.759214958,5.758163325,5.758038574,5.758314328
1940-01-15,5.70915125,5.710697604,5.712069924,5.72075267,5.721212822,5.727937809,5.731987176,5.7339015,5.736974406
1940-01-16,7.522983369,7.523232211,7.513078033,7.524519664,7.517243204,7.511195383,7.5120336,7.51367461,7.517899813
1940-01-17,7.534586245,7.536190804,7.533751441,7.547178045,7.543956272,7.546683468,7.550343267,7.552673746,7.557181999
1940-01-18,6.513571937,6.516066824,6.521115138,6.535621478,6.529937066,6.513408821,6.511458075,6.512323164,6.515996326
1940-01-19,7.428084852,7.430007294,7.43372371,7.443012231,7.443177117,7.446559337,7.449070972,7.450399129,7.452711069
1940-01-20,7.624485557,7.625727848,7.626098422,7.634161035,7.632818215,7.634148747,7.635885565,7.637005635,7.639185764
1940-01-21,6.695950013,6.695249604,6.687942024,6.690032143,6.685040842,6.674854508,6.672495366,6.672323516,6.673253538
1940-01-22,6.818685093,6.818388542,6.80957542,6.815995353,6.809853681,6.801118193,6.80039838,6.801204872,6.803965274
1940-01-23,8.225852077,8.227603685,8.225689772,8.239201402,8.238134303,8.249819525,8.256149655,8.259146731,8.26396348
1940-01-24,9.020353399,9.023459112,9.030843073,9.044280333,9.045094685,9.048682927,9.051612807,9.053199437,9.056003931
1940-01-25,6.502258341,6.500142117,6.484402295,6.485336427,6.476175884,6.459891249,6.456101194,6.45584579,6.457399537
1940-01-26,6.55189904,6.552241947,6.536542211,6.554745158,6.54424423,6.540252036,6.544122492,6.547671969,6.5555678
1940-01-27,5.057466582,5.054768053,5.04881524,5.035425412,5.033454917,5.018980992,5.01162374,5.008448173,5.003737412
1940-01-28,7.007357866,7.006022742,6.995442006,6.996506653,6.990099861,6.978259352,6.975298592,6.974983844,6.975865368
1940-01-29,7.066048109,7.064958775,7.055011241,7.057181169,7.051176389,7.041373287,7.039299554,7.03932406,7.040647795
1940-01-30,11.36445719,11.3679222,11.37019061,11.38999687,11.39566805,11.43356609,11.45052692,11.45720343,11.46620577
1940-01-31,6.702614708,6.708961584,6.723928632,6.921321359,7.216241319,8.868515989,9.721613845,10.06537428,10.541083
1940-02-01,6.916986456,6.928350372,6.958873801,7.005868415,7.016722783,7.058585208,7.081017387,7.090709285,7.105100113
