Year,SLR (mm)
1981,-6.8247863247863165
1982,-56.99145299145299
1983,-60.99145299145299
1984,-5.15811965811967
1985,-10.574786324786317
1986,-11.991452991452984
1987,-42.99145299145299
1988,1.0918803418803478
1989,7.925213675213676
1990,26.25854700854702
1991,-4.908119658119659
1992,-12.741452991452984
1993,-48.57478632478632
1994,-38.65811965811965
1995,-33.49145299145298
1996,-21.40811965811967
1997,-68.24145299145297
1998,-3.3247863247863165
1999,-13.90811965811967
2000,3.091880341880355
2001,49.59188034188035
2002,-6.241452991452995
2003,-11.074786324786338
2004,-15.158119658119649
2005,-0.8247863247863165
2006,-18.574786324786317
2007,5.591880341880355
2008,0.5085470085470192
2009,8.425213675213683
2010,13.591880341880355
2011,36.25854700854702
2012,15.008547008547012
2013,68.75854700854697
2014,40.425213675213676
2015,27.258547008547012
2016,77.59188034188031
2017,56.67521367521369
2018,17.425213675213676
2019,37.175213675213676
2020,21.387944895318178
2021,26.287944895318176
2022,31.187944895318175
2023,36.08794489531818
2024,40.98794489531817
2025,45.88794489531818
2026,50.787944895318184
2027,55.68794489531816
2028,60.58794489531818
2029,65.48794489531818
2030,70.38794489531818
2031,75.98794489531818
2032,81.58794489531817
2033,87.18794489531817
2034,92.78794489531816
2035,98.38794489531818
2036,103.98794489531818
2037,109.58794489531817
2038,115.18794489531817
2039,120.78794489531819
2040,126.38794489531818
2041,133.88794489531818
2042,141.3879448953182
2043,148.88794489531818
2044,156.38794489531818
2045,163.88794489531818
2046,171.38794489531818
2047,178.8879448953182
2048,186.3879448953182
2049,193.8879448953182
2050,201.38794489531818
2051,209.0879448953182
2052,216.7879448953182
2053,224.4879448953182
2054,232.1879448953182
2055,239.88794489531818
2056,247.58794489531817
2057,255.28794489531816
2058,262.98794489531815
2059,270.6879448953182
2060,278.3879448953182
2061,288.18794489531814
2062,297.9879448953182
2063,307.78794489531816
2064,317.5879448953182
2065,327.3879448953182
2066,337.1879448953182
2067,346.98794489531815
2068,356.78794489531816
2069,366.5879448953182
2070,376.3879448953182
2071,387.48794489531815
2072,398.5879448953182
2073,409.68794489531814
2074,420.78794489531816
2075,431.8879448953182
2076,442.9879448953182
2077,454.08794489531823
2078,465.1879448953182
2079,476.2879448953182
2080,487.3879448953182
2081,500.08794489531823
2082,512.7879448953181
2083,525.4879448953182
2084,538.1879448953181
2085,550.8879448953181
2086,563.5879448953181
2087,576.2879448953181
2088,588.9879448953182
2089,601.6879448953181
2090,614.3879448953181
2091,627.5879448953182
2092,640.7879448953181
2093,653.9879448953182
2094,667.1879448953181
2095,680.3879448953181
2096,693.5879448953182
2097,706.7879448953182
2098,719.9879448953182
2099,733.1879448953182
2100,746.3879448953181
