Year,SLR (mm)
1981,22.30700408997954
1982,-27.85966257668713
1983,-31.85966257668713
1984,23.973670756646186
1985,18.55700408997954
1986,17.14033742331287
1987,-13.859662576687128
1988,30.223670756646204
1989,37.05700408997953
1990,55.39033742331287
1991,24.223670756646197
1992,16.39033742331287
1993,-19.44299591002046
1994,-9.526329243353794
1995,-4.359662576687128
1996,7.723670756646186
1997,-39.10966257668713
1998,25.80700408997954
1999,15.223670756646186
2000,32.22367075664621
2001,78.7236707566462
2002,22.89033742331286
2003,18.057004089979518
2004,13.973670756646206
2005,28.30700408997954
2006,10.557004089979538
2007,34.72367075664621
2008,29.64033742331287
2009,37.557004089979536
2010,42.72367075664621
2011,65.39033742331287
2012,44.140337423312864
2013,97.89033742331283
2014,69.55700408997953
2015,56.390337423312864
2016,106.72367075664617
2017,85.80700408997954
2018,46.55700408997953
