Year,Sealevel (m)
1950,0.012833333333333271
1951,0.02608333333333328
1952,0.008166666666666609
1953,-0.010666666666666713
1954,-0.012166666666666723
1955,0.03458333333333327
1956,0.051999999999999956
1957,-8.333333333338892e-05
1958,0.021916666666666623
1959,-0.004666666666666717
1960,0.0021666666666666223
1961,-0.027833333333333377
1962,0.007166666666666617
1963,-0.0030833333333333637
1964,0.05183333333333331
1965,-0.0010833333333333806
1966,0.0026666666666666137
1967,-0.0058333333333333666
1968,0.026416666666666627
1969,-0.01891666666666671
1970,-0.002250000000000039
1971,0.01841666666666662
1972,-0.003916666666666707
1973,0.03374999999999997
1974,0.06291666666666663
1975,0.03324999999999995
1976,0.06641666666666661
1977,0.016833333333333284
1978,0.04883333333333328
1979,-0.006166666666666737
1980,0.02283333333333328
1981,0.03716666666666662
1982,-0.01300000000000003
1983,-0.017000000000000043
1984,0.03883333333333327
1985,0.03341666666666662
1986,0.031999999999999966
1987,0.0009999999999999731
1988,0.04508333333333328
1989,0.05191666666666659
1990,0.07024999999999994
1991,0.039083333333333276
1992,0.031249999999999944
1993,-0.004583333333333374
1994,0.005333333333333301
1995,0.010499999999999945
1996,0.02258333333333326
1997,-0.02425000000000004
1998,0.04066666666666663
1999,0.030083333333333268
2000,0.04708333333333328
2001,0.09358333333333328
2002,0.03774999999999994
2003,0.0329166666666666
2004,0.028833333333333294
2005,0.043166666666666624
2006,0.025416666666666615
2007,0.049583333333333285
2008,0.044499999999999956
2009,0.05241666666666661
2010,0.0575833333333333
2011,0.08024999999999995
2012,0.058999999999999934
2013,0.11274999999999992
2014,0.0844166666666666
2015,0.07124999999999992
2016,0.12158333333333327
2017,0.10066666666666661
2018,0.0614166666666666
