Year,RCP45,RCP85
2019,0.09136157628205122,0.09404314102564097
2020,0.09644166666666662,0.09944166666666661
2021,0.10131056474358968,0.10468070512820507
2022,0.1059913897435897,0.10978320512820505
2023,0.11050726089743584,0.11477211538461532
2024,0.1148812974358974,0.11967038461538454
2025,0.11913661858974353,0.12450096153846146
2026,0.12329634358974353,0.1292867948717948
2027,0.12738359166666663,0.13405083333333326
2028,0.131421482051282,0.13881602564102558
2029,0.13543313397435894,0.14360532051282046
2030,0.1394416666666666,0.1484416666666666
2031,0.1434701993589743,0.15334801282051275
2032,0.14754185128205122,0.15834730769230765
2033,0.15167974166666662,0.16346249999999996
2034,0.15590698974358969,0.1687165384615384
2035,0.16024671474358967,0.17413237179487176
2036,0.16472203589743584,0.17973294871794865
2037,0.1693560724358974,0.18554121794871786
2038,0.17417194358974356,0.19158012820512815
2039,0.17919276858974356,0.19787262820512813
2040,0.18444166666666661,0.2044416666666666
2041,0.18993063782051278,0.21129924358974353
2042,0.19562720512820508,0.21841356410256402
2043,0.20148777243589738,0.22574188461538455
2044,0.20746874358974354,0.23324146153846148
2045,0.21352652243589737,0.2408695512820512
2046,0.21961751282051276,0.2485834102564102
2047,0.22569811858974353,0.2563402948717948
2048,0.23172474358974351,0.2640974615384615
2049,0.23765379166666661,0.27181216666666663
2050,0.2434416666666666,0.27944166666666664
2051,0.24905924935897433,0.28695801282051275
2052,0.2545353282051282,0.29439243589743586
2053,0.25991316858974356,0.30179096153846147
2054,0.26523603589743583,0.3091996153846153
2055,0.27054719551282047,0.31666442307692305
2056,0.2758899128205128,0.3242314102564102
2057,0.2813074532051282,0.3319466025641025
2058,0.286843082051282,0.33985602564102557
2059,0.2925400647435897,0.34800570512820506
2060,0.2984416666666666,0.3564416666666666
2061,0.3045793647435897,0.3651977051282051
2062,0.310937482051282,0.3742586923076922
2063,0.31748855320512814,0.38359726923076914
2064,0.3242051128205128,0.3931860769230769
2065,0.3310596955128205,0.40299775641025637
2066,0.3380248358974358,0.41300494871794863
2067,0.3450730685897435,0.4231802948717948
2068,0.35217692820512814,0.4334964358974358
2069,0.3593089493589743,0.44392601282051275
2070,0.3664416666666666,0.4544416666666666
2071,0.37355129166666656,0.46502316666666654
2072,0.3806287435897436,0.4756787948717948
2073,0.38766861858974355,0.4864239615384614
2074,0.3946655128205127,0.49727407692307685
2075,0.4016140224358974,0.5082445512820513
2076,0.40850874358974354,0.5193507948717948
2077,0.4153442724358974,0.5306082179487179
2078,0.4221152051282051,0.5420322307692307
2079,0.42881613782051275,0.5536382435897436
2080,0.4354416666666666,0.5654416666666666
2081,0.4419904685897435,0.5774526282051282
2082,0.4484775435897435,0.5896601282051281
2083,0.4549219724358973,0.6020478846153845
2084,0.46134283589743585,0.6145996153846154
2085,0.46775921474358967,0.6272990384615384
2086,0.4741901897435897,0.6401298717948718
2087,0.4806548416666666,0.6530758333333332
2088,0.48717225128205127,0.666120641025641
2089,0.4937614993589743,0.6792480128205128
2090,0.5004416666666667,0.6924416666666666
2091,0.507231833974359,0.7056853205128205
2092,0.514151082051282,0.7189626923076923
2093,0.5212184916666667,0.7322575
2094,0.5284531435897436,0.7455534615384615
2095,0.5358741185897437,0.7588342948717948
2096,0.5435004974358973,0.7720837179487179
2097,0.5513513608974359,0.7852854487179487
2098,0.5594457897435896,0.7984232051282052
2099,0.5678028647435897,0.8114807051282051
