Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
5/1/1951,182.9269951,190.8071143,185.5028497,179.8483611,182.7418803,201.6839691,203.8400302,198.7993275,193.0535854
6/28/1961,191.1901711,190.8365848,188.6077272,197.6880965,197.8018096,196.3873827,185.0991466,171.1447167,166.9098816
9/23/1965,208.8921084,214.9208041,206.2843975,199.7901363,191.5483732,210.1720631,210.7622373,201.6325411,194.5590546
6/19/1974,161.922693,163.6522296,165.0642098,176.7880657,183.6170928,172.0623688,177.6817836,161.6040795,160.8586569
4/1/1977,195.8040895,197.1535998,191.2104008,200.136737,205.27885,207.5098782,207.8514996,205.6624562,207.2013786
4/7/1985,191.0978117,195.808944,200.7817514,203.3004156,204.1456928,202.4557297,204.872367,205.8460261,204.159584
5/23/1987,193.5963128,193.206069,183.4840314,182.9995371,178.345458,182.781619,182.4236175,180.6523172,184.611496
9/12/1987,210.6812541,211.0172417,208.3271984,208.5193061,192.3586668,188.7687668,183.8090327,175.184561,176.4385754
9/28/1987,216.5902123,218.646195,219.0033879,210.7512011,201.1076107,203.2609427,195.6175591,177.3957886,
11/15/1987,204.2208767,199.0404327,200.9698677,199.9104194,187.2768753,191.4655506,180.6013061,167.1448317,170.4100941
2/19/1988,195.191788,187.4870878,197.4017031,193.596704,199.7939847,193.6611025,193.1670454,191.3990714,195.0012882
5/25/1988,172.2619451,175.9291975,165.8698504,168.1311303,166.8794008,170.0358244,164.9655284,151.231646,155.1017224
6/10/1988,191.8774362,188.5729379,182.5802529,184.5704702,176.552466,186.5653241,188.5858571,176.9788601,187.0644308
6/26/1988,201.6355729,194.8210028,192.445718,192.9469451,180.8932921,198.4059767,191.9084873,175.0273163,193.6720655
7/28/1988,187.6893128,193.4058462,182.1314217,180.0330378,178.4313283,182.3697082,178.0923166,172.0671853,181.8713642
8/13/1988,191.9200244,194.5823995,192.8477,181.9891131,180.9029371,179.2687621,182.1277123,171.7926305,185.9835462
8/29/1988,200.7086715,201.3032274,204.0171127,194.46529,189.4359274,194.3454844,190.3134868,179.1728061,183.2708355
9/30/1988,197.4050124,204.3819005,200.4844015,197.1573211,195.4874435,201.7824607,196.7859744,193.3334035,202.9050258
12/3/1988,196.7550351,193.6978283,198.5794604,187.0561831,185.0074177,194.1481096,199.9825701,192.3394497,191.8326573
2/21/1989,186.0537015,180.1668829,183.2479557,177.2784468,176.6532651,186.712714,193.7986071,188.0228801,184.0575023
3/9/1989,187.3785864,185.1804385,186.6275979,197.2339314,194.9400916,204.9244202,208.2186955,208.7430281,207.5334483
5/28/1989,196.810412,192.4907635,189.0331587,185.496132,184.8393798,185.6456477,183.9315732,186.6123165,190.6118032
6/13/1989,186.5337253,194.8435714,189.1545546,183.6518201,183.5023067,180.4988437,184.4388887,192.4057049,195.897514
7/31/1989,181.3202544,181.8280011,181.3356881,183.1920589,174.3119959,192.9760524,192.0956908,189.0440098,198.2176387
8/16/1989,186.8593521,179.6885462,181.1298574,178.4990985,185.5270338,192.5754816,186.0888279,171.7892719,174.4540812
9/17/1989,192.2186195,192.9306687,192.26176,189.4484842,192.4361756,202.0682886,186.3358622,186.9201678,184.758951
10/3/1989,183.7416698,185.0336724,175.6663054,175.0554722,178.998383,186.7236472,184.9086518,179.2622164,182.6232095
10/19/1989,199.7625614,196.558284,193.9564981,184.4032019,190.0285407,,,,
11/20/1989,197.401683,199.1512498,198.534318,195.5000077,190.9289086,190.1772687,191.7081354,176.3247764,194.5385511
3/28/1990,194.101971,198.3291468,196.368089,199.4623885,196.985996,198.9874957,196.0644576,199.246353,194.698141
4/13/1990,200.5383369,197.4721232,205.1156003,199.5941085,206.2666577,212.3552497,210.0195392,207.3629344,211.7399119
7/2/1990,214.9633465,212.5292624,212.5526773,199.8424563,199.6953333,193.9327015,194.8682363,174.8091783,195.7245949
9/4/1990,191.1086473,181.6892347,176.7410677,170.5318292,,,,,
9/20/1990,212.9115797,205.1190206,200.5485692,193.1690366,187.5678256,185.7117682,183.3116247,175.9491336,
11/7/1990,204.0147507,198.5445596,196.7991499,197.3862707,189.0184248,186.1059843,192.9943357,188.5912666,197.482356
1/10/1991,193.4208374,196.6346672,190.4022979,191.3157762,183.2514353,187.8563371,191.166672,189.2974955,194.8232634
3/15/1991,195.6289252,189.0734877,194.7132981,189.5601365,193.719034,194.0763831,190.3758027,191.4019318,198.0843961
4/16/1991,194.0859668,191.3032574,196.0676518,196.9183724,193.3500783,185.0857193,178.8672632,180.8995613,189.3486325
7/21/1991,196.9065296,194.3764574,198.1640781,194.336447,184.8585776,179.8764481,185.3262246,179.6646004,184.071473
