Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
1/15/2019,,194.1897708,205.6353378,202.3634277,201.1352441,210.1368819,205.1608942,197.1947249,
2/16/2019,198.4515458,209.1487771,200.9654391,202.5679622,199.5596119,,,199.0059563,201.7935218
3/4/2019,202.2287447,201.2679797,193.6404004,,,205.9942915,205.843885,206.0216023,206.1885349
3/12/2019,200.740026,203.0432863,208.8983517,202.2649819,212.1092077,206.0849916,215.2016157,213.8723636,214.3225473
3/28/2019,202.5464853,203.4922198,205.3683143,201.463493,208.0276579,,,,
4/13/2019,208.3170192,210.1426553,209.2728861,216.0581504,203.6082358,217.0286797,212.3237583,202.4403551,205.9610682
4/21/2019,201.0663119,204.6679521,208.5908449,212.6194931,208.5656893,206.2476886,206.6255098,,
5/7/2019,198.0285972,197.5406321,195.8444976,200.9447912,,,191.4189922,185.8296507,189.1594488
5/15/2019,205.2113734,208.9269294,211.7868157,208.2497034,200.4624109,202.6395095,199.4864394,197.0518762,196.9360725
5/23/2019,205.0858524,213.3186294,208.9578643,,,,,,
5/31/2019,198.4447921,205.0789317,198.8079779,202.3222508,199.3463801,195.5316691,198.3075709,193.3099589,194.5829234
7/10/2019,203.4325054,210.7646023,205.9762292,208.20972,196.4741816,199.8969799,,,188.1250634
7/18/2019,216.5385105,222.541124,217.8743475,207.1849315,199.5044062,198.7410683,197.3575372,177.1827048,
8/3/2019,206.4209687,207.4366459,213.6906474,198.8562012,199.9570593,200.6974223,192.0009203,174.7355356,181.2949359
8/11/2019,215.399776,217.0363022,211.3620645,,,192.7662547,191.7136582,170.5135029,179.2705807
8/19/2019,230.2131196,220.6937143,226.3669897,220.0589978,215.587206,205.6063011,198.0082745,179.9787218,200.7695786
9/4/2019,218.595107,219.7716677,229.1768762,210.8657524,199.5055899,193.3206623,190.2683082,176.8041665,
10/22/2019,216.6975484,205.2904343,205.4412368,205.4721747,192.1017368,195.3435332,186.1702194,175.1402266,174.8090204
11/7/2019,220.6508807,216.4946576,212.9782627,203.6504103,198.1950747,200.0831487,205.6781823,196.475278,201.5535484
11/15/2019,217.3959147,208.5545104,,,199.7407234,197.2637888,189.9505931,179.7950708,183.9224165
12/17/2019,222.0897777,,,194.4274621,204.6489385,207.89243,192.2387684,193.3264756,201.8325803
12/25/2019,,,207.8376621,202.654214,200.7025663,201.4526073,184.2366362,189.1620628,183.1230106
1/10/2020,,,206.7584129,209.2285838,195.9021291,199.8794971,195.0499108,195.2194507,195.589381
1/26/2020,214.3176338,207.1381081,205.7577775,208.8626054,194.431064,,,,
2/11/2020,202.3851261,193.0815695,187.7757949,187.7757366,188.3126303,187.0681643,184.8413263,185.3405585,183.8168991
2/19/2020,200.8523093,195.2048085,192.2289037,,,195.9961151,193.9065238,193.9373862,189.391945
3/6/2020,196.8970946,197.1606713,197.8899071,178.9867638,196.9612333,,,,
3/22/2020,,,187.5690521,182.1082543,199.0295653,201.0281016,204.7275191,196.4231497,200.2373183
4/23/2020,198.3673629,,,207.6927567,208.6179518,211.7750274,197.1668498,193.9776665,200.0573474
5/1/2020,204.5377035,203.9904241,207.6732832,213.0528945,206.8705359,205.1966028,200.4409151,192.1080812,204.1770423
5/17/2020,198.0612174,208.066723,207.4322979,205.7154923,194.8754085,201.8180789,190.6713139,195.7844587,197.0839011
6/18/2020,187.3660808,183.438267,198.3067493,189.9245255,188.9450651,192.7756009,185.3182587,173.1902746,177.8573665
6/26/2020,188.3539865,189.1038643,190.747823,186.4536227,183.5993557,187.7752833,,,193.2930983
7/4/2020,202.0085954,198.8253022,204.2038484,197.4354432,198.9057805,200.2811201,190.9685643,183.9305599,
7/12/2020,191.5302274,189.2221766,,,,191.7111422,185.1752076,166.1847346,
7/20/2020,186.1228189,187.5864246,195.0093948,183.282646,183.9558567,180.8111122,179.4389261,160.9025511,
8/5/2020,193.0308404,178.0829425,205.0787831,193.6517158,195.8943402,193.4813393,185.4821523,170.4079745,178.6314575
8/13/2020,184.4339698,178.6729321,198.0667886,186.91245,192.7889021,179.9582791,,,
8/21/2020,196.2738041,195.6527991,194.2696485,196.4285523,193.6001048,198.7981773,191.0010364,168.131801,
8/29/2020,192.4005041,,,,187.5416166,188.7309662,175.0963042,155.8197315,
9/14/2020,,,204.6969436,205.6990385,194.9821499,194.8762862,189.3809047,168.925198,190.6403021
9/22/2020,205.5681827,200.1411366,194.8835127,199.0961324,192.3774121,196.4215589,187.9506908,178.5713056,176.3361164
11/25/2020,194.3077789,193.0053131,195.0829302,188.7694827,193.3340872,193.8192592,191.7385502,191.5887568,198.8312825
12/27/2020,192.7355177,192.895775,196.5295377,192.4709456,200.6083602,201.8271256,197.6109929,207.0346884,205.5876324
2/5/2021,194.1422544,188.5802581,189.1764532,186.1071001,187.6256624,192.899715,189.6401199,188.5716502,
2/21/2021,188.7773294,191.256113,188.0615069,189.1308882,187.7518412,,,,
3/1/2021,196.8720301,197.1245412,199.3008519,200.9258318,196.4028373,210.6895356,201.8174419,204.6601874,214.0583815
4/2/2021,190.1390796,198.8836061,180.9925697,191.4650575,202.5874528,199.7208771,201.5485316,198.5855828,205.2462644
4/26/2021,194.5401921,201.0866708,202.6649633,,,185.6948083,181.8541118,169.933135,181.1118118
5/12/2021,188.0772404,198.4911093,192.0241039,,,185.6329843,175.9421263,172.9165018,172.2363173
5/20/2021,188.5441818,201.4690179,205.2603661,197.7138654,182.1968586,184.8718927,180.6820665,168.5032729,203.2906746
5/28/2021,183.8834518,197.174404,198.3910214,,,183.1394006,178.8613768,164.9847978,173.2045004
6/5/2021,178.5672286,194.8703873,188.2656535,183.7181403,168.2813893,171.1923977,171.6795749,162.2747943,
6/13/2021,200.1427082,195.8831923,203.9573104,192.551462,192.5508933,,,181.2285797,
6/29/2021,,,,,,,,,
7/7/2021,193.67729,203.9055515,186.7296962,181.8198467,196.2622027,192.5706884,190.2422237,177.2497271,192.1903925
8/16/2021,,198.0173379,199.7928098,197.062241,191.0372791,190.084132,187.5898349,184.3250096,185.5343948
9/1/2021,196.4261646,212.2669259,209.9567888,204.5755382,191.8040362,191.5686218,,,
9/17/2021,199.9316672,203.9030908,,,186.9820787,189.1125381,174.7640826,165.5706916,194.1368467
9/25/2021,193.6078666,197.4329171,199.2301006,194.2359395,196.2634288,193.2380796,176.5505321,164.898564,204.9576637
10/3/2021,197.624555,194.0385616,195.1910766,189.7363863,196.6601482,,,165.5299747,195.1104862
10/19/2021,201.1138086,197.7736469,201.8845001,192.713316,196.2498301,199.7700891,174.6463556,,
10/27/2021,203.7516293,207.6286866,198.9581749,195.1836474,201.5103429,197.2002579,174.9294471,172.7264443,197.0315369
12/30/2021,199.7702605,201.5260713,193.1673974,204.0160917,196.1098,191.8142587,201.1899573,188.3378027,188.0990004
2/16/2022,195.8629519,189.6984628,196.6457825,198.2430913,204.0165895,206.959095,203.2455679,204.3812848,204.7052085
3/12/2022,176.4694208,178.062842,182.0574081,180.8627001,176.7892402,183.0679233,180.3882235,177.7212906,185.6249632
3/20/2022,178.0424822,176.6579663,187.3109073,182.9489951,180.0011838,185.6369696,188.421262,182.4572278,182.2572179
3/28/2022,180.8197093,180.2102488,179.8543374,176.5284405,177.2817903,172.1784187,167.9718307,174.4082633,168.2124236
4/5/2022,181.6571439,189.6398762,198.2062596,200.7903524,193.3385483,192.2530812,186.5111626,185.7516965,199.5579428
4/13/2022,,,,,,,,,
4/21/2022,188.5578494,187.4753419,183.8121751,196.0118146,189.5694909,192.2391458,187.4896271,184.2992942,196.2218096
5/7/2022,190.3862117,185.7633765,194.3057572,196.2690547,197.8362096,193.6885928,197.1296538,192.1616833,191.8095961
5/19/2022,,184.1584516,184.6540759,189.5244756,187.3389752,187.133796,189.0388858,189.7151897,
5/23/2022,,,,,,,,,
5/31/2022,195.5430144,185.1363998,201.7705651,196.7594499,182.933948,199.2645806,190.784318,189.9585677,
6/8/2022,182.512997,187.9145284,182.9741691,183.5406203,186.7045336,185.7229476,181.9968807,172.2288867,174.9388947
6/16/2022,173.1477188,173.0324048,182.3952538,182.734207,184.9218228,173.6345607,167.5225254,160.6676682,170.9903389
6/22/2022,187.869312,182.7180266,188.1665536,190.2327969,,,180.5649928,165.1663288,188.1704969
7/9/2022,,170.4116466,169.7188683,180.1412335,179.9096232,173.1298799,,150.339546,
7/18/2022,186.6351965,187.2190194,190.3686109,184.6354148,191.9252777,189.8340096,179.5551274,170.7988318,
8/29/2022,187.1541976,196.4512094,203.4734914,191.9506922,196.6741196,188.2764356,,175.4813882,178.388737
9/12/2022,193.8282685,195.5893292,198.8276918,195.4456737,193.4256538,194.1559492,198.2576423,186.5447799,
9/28/2022,192.5170329,199.3922687,194.3811985,189.5655383,192.9369223,193.9739939,195.7784973,186.8529937,190.8238199
10/30/2022,185.8094878,186.7466612,186.8152132,180.8026733,196.1932073,205.4772208,198.8376895,205.1992336,210.0667454
11/5/2022,180.4933675,,,,173.5307649,188.1325907,182.4994877,186.7480808,196.7541171
11/22/2022,193.4569233,195.9418193,197.5469559,,,,194.3673537,194.3794805,186.4188985
11/23/2022,174.1468816,178.109877,174.7894671,175.3593262,181.1104839,187.2288483,186.2976001,183.2088741,175.3435224
12/25/2022,,,,,,,,,
1/2/2023,199.6966921,191.2980849,200.7767282,187.5150232,188.879866,197.9721992,194.379389,199.2609889,200.3903659
1/17/2023,195.853209,199.9714373,203.3710226,195.2210485,199.7437847,204.3727624,214.020832,199.2610945,206.3238398
1/18/2023,199.5171382,199.9307104,203.2265761,201.3200819,194.9869589,200.4103769,216.1395382,198.099912,200.9260036
1/26/2023,197.6176736,191.5109792,206.6454393,193.8431095,202.5744177,206.3385852,212.6678764,206.7420732,202.8045163
