Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9,
1951-05-01,182.9269951,190.8071143,185.5028497,179.8483611,182.7418803,201.6839691,203.8400302,198.7993275,193.0535854,
1961-06-28,,,,,,,,,,
1965-09-23,,,,,,,,,,
1974-06-19,,,,,,,,,,
1977-04-01,,,,,,,,,,
1985-04-07,,,,,,,,,,
1987-05-23,,,,,,,,,,
1987-09-12,,,,,,,,,,
1987-09-28,,,,,,,,,,
1987-11-15,,,,,,,,,,
1988-02-19,,,,,,,,,,
1988-05-25,,,,,,,,,,
1988-06-10,,,,,,,,,,
1988-06-26,,,,,,,,,,
1988-07-28,,,,,,,,,,
1988-08-13,,,,,,,,,,
1988-08-29,,,,,,,,,,
1988-09-30,,,,,,,,,,
1988-12-03,,,,,,,,,,
1989-02-21,,,,,,,,,,
1989-03-09,,,,,,,,,,
1989-04-10,,,,,,,,,,
1989-05-28,,,,,,,,,,
1989-06-13,,,,,,,,,,
1989-07-31,,,,,,,,,,
1989-08-16,,,,,,,,,,
1989-09-17,,,,,,,,,,
1989-10-03,,,,,,,,,,
1989-10-19,,,,,,,,,,
1989-11-20,,,,,,,,,,
1990-03-28,,,,,,,,,,
1990-04-13,,,,,,,,,,
1990-07-02,,,,,,,,,,
1990-09-04,,,,,,,,,,
1990-09-20,,,,,,,,,,
1990-11-07,,,,,,,,,,
1991-01-10,,,,,,,,,,
1991-03-15,,,,,,,,,,
1991-04-16,,,,,,,,,,
1991-07-21,,,,,,,,,,
1991-08-06,,,,,,,,,,
1991-08-22,,,,,,,,,,
1991-09-23,,,,,,,,,,
1991-10-25,,,,,,,,,,
1991-11-10,,,,,,,,,,
1992-01-13,,,,,,,,,,
1992-05-04,,,,,,,,,,
1992-05-20,,,,,,,,,,
1992-06-05,,,,,,,,,,
1992-07-07,,,,,,,,,,
1992-07-23,,,,,,,,,,
1992-08-24,,,,,,,,,,
1992-09-25,,,,,,,,,,
1992-10-11,,,,,,,,,,
1992-11-28,,,,,,,,,,
1992-12-14,,,,,,,,,,
1993-01-15,,,,,,,,,,
1993-01-31,,,,,,,,,,
1993-03-20,,,,,,,,,,
1993-04-21,,,,,,,,,,
1993-05-23,,,,,,,,,,
1993-06-08,,,,,,,,,,
1993-06-24,,,,,,,,,,
1993-07-26,,,,,,,,,,
1993-08-11,,,,,,,,,,
1993-09-28,,,,,,,,,,
1993-10-14,,,,,,,,,,
1993-12-01,,,,,,,,,,
1994-04-08,,,,,,,,,,
1994-04-24,,,,,,,,,,
1994-05-10,,,,,,,,,,
1994-06-11,,,,,,,,,,
1994-07-13,,,,,,,,,,
1994-07-29,,,,,,,,,,
1994-08-14,,,,,,,,,,
1994-09-15,,,,,,,,,,
1994-10-17,,,,,,,,,,
1994-11-02,,,,,,,,,,
1994-12-04,,,,,,,,,,
1995-02-22,,,,,,,,,,
1995-05-13,,,,,,,,,,
1995-05-29,,,,,,,,,,
1995-06-30,,,,,,,,,,
1995-07-16,,,,,,,,,,
1995-08-17,,,,,,,,,,
1995-11-05,,,,,,,,,,
1995-12-07,,,,,,,,,,
1996-02-09,,,,,,,,,,
1996-05-31,,,,,,,,,,
1996-06-16,,,,,,,,,,
1996-07-02,,,,,,,,,,
1996-07-18,,,,,,,,,,
1996-08-03,,,,,,,,,,
1996-09-04,,,,,,,,,,
1996-10-06,,,,,,,,,,
1996-12-09,,,,,,,,,,
1996-12-25,,,,,,,,,,
1997-06-19,,,,,,,,,,
1997-07-05,,,,,,,,,,
1997-07-21,,,,,,,,,,
1997-08-06,,,,,,,,,,
1997-08-22,,,,,,,,,,
1997-10-25,,,,,,,,,,
1997-11-26,,,,,,,,,,
1998-01-13,,,,,,,,,,
1998-01-29,,,,,,,,,,
1998-02-14,,,,,,,,,,
1998-03-02,,,,,,,,,,
1998-04-03,,,,,,,,,,
1998-04-19,,,,,,,,,,
1998-05-21,,,,,,,,,,
1998-07-08,,,,,,,,,,
1998-10-12,,,,,,,,,,
1998-10-28,,,,,,,,,,
