Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
1987-05-22 23:08:08,193.5963128,193.206069,183.4840314,182.9995371,178.345458,182.781619,182.4236175,180.6523172,184.611496
1987-09-11 23:10:29,210.6812541,211.0172417,208.3271984,208.5193061,192.3586668,188.7687668,183.8090327,175.184561,176.4385754
1987-09-27 23:10:51,216.5902123,218.646195,219.0033879,210.7512011,201.1076107,203.2609427,195.6175591,177.3957886,
1987-11-14 23:11:47,204.2208767,199.0404327,200.9698677,199.9104194,187.2768753,191.4655506,180.6013061,167.1448317,170.4100941
1988-02-18 23:13:23,195.191788,187.4870878,197.4017031,193.596704,199.7939847,193.6611025,193.1670454,191.3990714,195.0012882
1988-05-24 23:14:10,172.2619451,175.9291975,165.8698504,168.1311303,166.8794008,170.0358244,164.9655284,151.231646,155.1017224
1988-06-09 23:14:15,191.8774362,188.5729379,182.5802529,184.5704702,176.552466,186.5653241,188.5858571,176.9788601,187.0644308
1988-06-25 23:14:20,201.6355729,194.8210028,192.445718,192.9469451,180.8932921,198.4059767,191.9084873,175.0273163,193.6720655
1988-07-27 23:14:26,187.6893128,193.4058462,182.1314217,180.0330378,178.4313283,182.3697082,178.0923166,172.0671853,181.8713642
1988-08-12 23:14:25,191.9200244,194.5823995,192.8477,181.9891131,180.9029371,179.2687621,182.1277123,171.7926305,185.9835462
1988-08-28 23:14:30,200.7086715,201.3032274,204.0171127,194.46529,189.4359274,194.3454844,190.3134868,179.1728061,183.2708355
1988-09-29 23:14:21,197.4050124,204.3819005,200.4844015,197.1573211,195.4874435,201.7824607,196.7859744,193.3334035,202.9050258
1988-12-02 23:14:15,196.7550351,193.6978283,198.5794604,187.0561831,185.0074177,194.1481096,199.9825701,192.3394497,191.8326573
1989-02-20 23:13:39,186.0537015,180.1668829,183.2479557,177.2784468,176.6532651,186.712714,193.7986071,188.0228801,184.0575023
1989-03-08 23:13:15,187.3785864,185.1804385,186.6275979,197.2339314,194.9400916,204.9244202,208.2186955,208.7430281,207.5334483
1989-04-09 23:12:51,,,,,,164.314161,,,
1989-05-27 23:12:04,196.810412,192.4907635,189.0331587,185.496132,184.8393798,185.6456477,183.9315732,186.6123165,190.6118032
1989-06-12 23:11:41,186.5337253,194.8435714,189.1545546,183.6518201,183.5023067,180.4988437,184.4388887,192.4057049,195.897514
1989-07-30 23:10:47,181.3202544,181.8280011,181.3356881,183.1920589,174.3119959,192.9760524,192.0956908,189.0440098,198.2176387
1989-08-15 23:10:23,186.8593521,179.6885462,181.1298574,178.4990985,185.5270338,192.5754816,186.0888279,171.7892719,174.4540812
1989-09-16 23:09:32,192.2186195,192.9306687,192.26176,189.4484842,192.4361756,202.0682886,186.3358622,186.9201678,184.758951
1989-10-02 23:09:23,183.7416698,185.0336724,175.6663054,175.0554722,178.998383,186.7236472,184.9086518,179.2622164,182.6232095
1989-10-18 23:08:40,199.7625614,196.558284,193.9564981,184.4032019,190.0285407,,,,
