Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
1979-01-01,0.70431155,0.704109033,0.703686885,0.702759824,0.699772771,0.69833324,0.697858949,0.697585741,0.696763383
1979-01-02,1.031407979,1.029497513,1.026284675,1.020431697,1.008995676,1.000307507,0.996574055,0.994609362,0.989184683
1979-01-03,0.803180117,0.802230627,0.800641027,0.797748078,0.791979276,0.787673603,0.785833489,0.784861051,0.782162715
1979-01-04,0.829693287,0.829815733,0.829983526,0.830200077,0.829985953,0.829896594,0.8298749,0.82985384,0.82976635
1979-01-05,1.243238815,1.243064939,1.242679959,1.241791468,1.238891406,1.236928656,1.23614291,1.235715994,1.234501041
1979-01-06,1.179814261,1.179814199,1.179813621,1.179811627,1.179801856,1.179794431,1.179791391,1.179789754,1.179785143
1979-01-07,1.238155383,1.238155377,1.238155367,1.238155347,1.238155299,1.238155261,1.238155245,1.238155237,1.238155214
1979-01-08,1.143601489,1.143601481,1.143601455,1.143601378,1.143601057,1.143600802,1.143600695,1.143600639,1.143600481
1979-01-09,1.56339922,1.56339922,1.563399219,1.563399218,1.563399216,1.563399214,1.563399213,1.563399213,1.563399212
1979-01-10,1.574027847,1.571520895,1.567502701,1.560718879,1.551692813,1.544685278,1.541640791,1.540111884,1.536125348
1979-01-11,1.340247826,1.334993126,1.326560986,1.312321072,1.293172632,1.278346239,1.271937716,1.268724022,1.260359857
1979-01-12,1.011547915,1.011517302,1.011468069,1.011384565,1.011271255,1.01118165,1.011142521,1.011122834,1.011071382
1979-01-13,0.852454446,0.849229336,0.844059721,0.8353167,0.82310724,0.813880292,0.809928225,0.807934085,0.802701341
1979-01-14,1.133631959,1.133630425,1.13362795,1.13362373,1.13361781,1.133613274,1.133611312,1.133610319,1.133607705
1979-01-15,1.60676491,1.604931696,1.601942559,1.596484878,1.582858143,1.572507599,1.568133027,1.565782053,1.559102736
1979-01-16,1.382339567,1.381944019,1.381290805,1.380112849,1.377768174,1.376023257,1.37527833,1.374884043,1.373788207
1979-01-17,1.335600376,1.334787505,1.333534673,1.331406105,1.327651132,1.325652127,1.324860281,1.32440949,1.323049189
1979-01-18,1.185620318,1.184520173,1.182792546,1.1797721,1.173836596,1.170524183,1.169201755,1.168450108,1.166181233
1979-01-19,1.151465889,1.15046678,1.148979055,1.146618146,1.143803339,1.142547733,1.142071055,1.141805754,1.141017983
1979-01-20,1.409137205,1.407330466,1.404764584,1.400971961,1.398539476,1.397523314,1.397064704,1.396828238,1.396172108
1979-01-21,1.576128977,1.573058401,1.568551124,1.561676275,1.555969973,1.552479963,1.55098234,1.550250925,1.548391439
1979-01-22,1.976246536,1.971508908,1.963940347,1.951131283,1.932133072,1.918080898,1.912128328,1.909096879,1.901040355
1979-01-23,1.621810295,1.621080281,1.619867923,1.617704409,1.613871191,1.610848313,1.609536812,1.608857003,1.607014175
1979-01-24,1.296865969,1.29668958,1.296402737,1.295902665,1.295073353,1.294473881,1.294219658,1.294087569,1.293728497
1979-01-25,1.296397414,1.296354386,1.296284453,1.296163782,1.295982321,1.295849357,1.295792728,1.295763761,1.29568654
1979-01-26,1.313084089,1.308866238,1.302072502,1.290506733,1.273827885,1.261269055,1.255898328,1.253176341,1.245993552
1979-01-27,1.559126272,1.552612091,1.542339771,1.525208169,1.500117689,1.481411065,1.473510423,1.469497504,1.458851502
1979-01-28,1.30207892,1.297678653,1.290686325,1.278954408,1.262236402,1.249745392,1.244445374,1.241765313,1.234703958
1979-01-29,1.107185448,1.104791273,1.101035881,1.094797757,1.085857476,1.079358119,1.076620446,1.075227652,1.071526487
1979-01-30,1.102729394,1.101560222,1.099749376,1.096803336,1.093181399,1.090740614,1.089726565,1.089218591,1.087894775
1979-01-31,1.188858826,1.18860003,1.188188116,1.18749681,1.186586545,1.185906205,1.185612986,1.185465302,1.185078696
1979-02-01,1.186160796,1.185828946,1.185292557,1.184374282,1.18303711,1.181992628,1.18153977,1.181310073,1.180703735
1979-02-02,1.229290369,1.22891932,1.228318869,1.227290238,1.225794516,1.224616303,1.224104618,1.223845445,1.223162674
1979-02-03,1.492272908,1.492254172,1.4922242,1.492173637,1.492106536,1.4920548,1.4920323,1.492020975,1.491991361
1979-02-04,1.814296881,1.808932731,1.800970665,1.788417321,1.773781945,1.76304915,1.7582775,1.755801633,1.749027335
1979-02-05,1.996082903,1.995170664,1.994112794,1.993018543,1.994473928,1.994996386,1.995080432,1.995158363,1.995470889
1979-02-06,1.368623178,1.368307566,1.368001958,1.367710935,1.366943382,1.366627032,1.366495541,1.3663882,1.365953615
1979-02-07,1.035816604,1.033914051,1.031093165,1.026683572,1.02141164,1.018069603,1.016695202,1.015986986,1.014059896
1979-02-08,1.094179727,1.091056559,1.086100647,1.077845325,1.067416851,1.059635321,1.056297066,1.054631692,1.050324611
1979-02-09,0.903122708,0.901760951,0.899582864,0.895911833,0.890990023,0.887248904,0.885635772,0.884824591,0.882705799
1979-02-10,1.138485751,1.138181585,1.137666502,1.136739332,1.135019729,1.133851681,1.133381835,1.133139061,1.132485923
1979-02-11,1.049234931,1.048942549,1.048457702,1.047607089,1.046137538,1.045175128,1.044795129,1.044600526,1.044082165
1979-02-12,0.972515797,0.972515484,0.972514972,0.972514084,0.972512725,0.972511667,0.97251121,0.972510977,0.972510358
1979-02-13,1.085425848,1.085425612,1.085425218,1.085424523,1.08542336,1.085422466,1.085422083,1.085421887,1.085421361
1979-02-14,1.024708158,1.024700948,1.024688807,1.024666892,1.024626365,1.024594409,1.024580668,1.024573566,1.024554393
1979-02-15,0.824855817,0.824855014,0.824853706,0.824851446,0.824848015,0.824845307,0.824844132,0.824843534,0.824841951
1979-02-16,1.756462809,1.755286013,1.753340359,1.749877515,1.74340852,1.738186469,1.73592934,1.734762552,1.731607809
1979-02-17,1.355081132,1.353954941,1.352115365,1.34886172,1.342334451,1.33703056,1.334755041,1.333576396,1.330378356
1979-02-18,1.194851966,1.194610377,1.194214054,1.193518615,1.192325141,1.191350574,1.190926752,1.19070937,1.190127058
1979-02-19,1.014668834,1.014655005,1.014632264,1.014592336,1.014525407,1.014471085,1.014447441,1.014435327,1.01440293
1979-02-20,1.147866864,1.147866073,1.147864771,1.147862486,1.147858806,1.147855874,1.147854599,1.147853946,1.147852204
1979-02-21,1.142515181,1.142513773,1.14251149,1.142507577,1.142501958,1.142497516,1.142495582,1.142494604,1.142492031
1979-02-22,1.012873786,1.012873146,1.012872097,1.01287028,1.012867521,1.012865355,1.012864419,1.012863944,1.012862688
1979-02-23,1.189630402,1.18951351,1.18931586,1.188958457,1.188299487,1.187842214,1.187653884,1.187555695,1.187288308
1979-02-24,1.039728914,1.039373373,1.038784005,1.037734811,1.03580228,1.034770436,1.034388898,1.034182768,1.033599037
1979-02-25,1.050421286,1.050013759,1.049327253,1.048086408,1.045655131,1.044313337,1.043816377,1.043549379,1.042798364
1979-02-26,1.127429604,1.127408061,1.127372457,1.12730976,1.127206646,1.127130153,1.127097641,1.127080906,1.12703597
1979-02-27,1.035770442,1.034409525,1.032143474,1.028077449,1.020586758,1.014870407,1.012414472,1.011132161,1.007624849
1979-02-28,1.009375026,1.008684283,1.007530159,1.005447105,1.001461329,0.998325268,0.996971359,0.996265572,0.994339024
1979-03-01,0.932645646,0.932647982,0.932650942,0.932654077,0.932643538,0.932635594,0.932632447,0.932630603,0.932624944
1979-03-02,0.863308116,0.863162578,0.862874803,0.862265253,0.860383488,0.859182151,0.858721541,0.85847236,0.857766381
1979-03-03,0.904081125,0.904030996,0.903948593,0.903804301,0.90357519,0.903392499,0.903312763,0.903271931,0.903162883
1979-03-04,1.971727443,1.971592142,1.971358093,1.970916642,1.969916679,1.969084859,1.968723259,1.968534053,1.968015351
1979-03-05,1.530051042,1.528920369,1.527068786,1.523803861,1.517762859,1.51298905,1.510939581,1.509878753,1.507004668
1979-03-06,1.452085539,1.448631755,1.443076205,1.433475467,1.416599875,1.403802178,1.398363979,1.395543211,1.387873422
1979-03-07,1.263905253,1.261085031,1.256600012,1.248758689,1.231264454,1.217055752,1.210986353,1.207799393,1.198998519
1979-03-08,1.039529493,1.037607401,1.034640633,1.0296737,1.021041083,1.014783023,1.012142415,1.010748192,1.006861746
1979-03-09,0.855801134,0.855346809,0.8547112,0.853707674,0.851828294,0.850778479,0.850346102,0.85009019,0.849281338
1979-03-10,0.760568236,0.760193814,0.759693779,0.758959327,0.75810841,0.757566771,0.757305722,0.757153467,0.75667877
1979-03-11,1.160829445,1.161065293,1.161568393,1.162516311,1.16333541,1.163762898,1.163878076,1.163896881,1.163802711
1979-03-12,1.427612155,1.427945795,1.428611902,1.429908751,1.432006773,1.433713643,1.434422259,1.434763277,1.435596871
1979-03-13,1.370520408,1.370482129,1.370517142,1.37073316,1.371620155,1.372522828,1.372918428,1.373117735,1.373636066
1979-03-14,1.33680008,1.337180498,1.337839916,1.33902965,1.340735057,1.342182049,1.342821838,1.343141274,1.343965639
1979-03-15,1.664538773,1.665264818,1.66644194,1.668378056,1.669464838,1.670189681,1.67052854,1.670671004,1.670947155
1979-03-16,2.008294685,2.008933027,2.00998303,2.011783603,2.013782209,2.015418127,2.016159496,2.01652606,2.017461524
1979-03-17,1.83875263,1.839866322,1.841704282,1.84483612,1.84775277,1.849832839,1.85076123,1.851208155,1.85230524
1979-03-18,1.83031883,1.829251568,1.827509334,1.824253164,1.814347425,1.806411534,1.8030815,1.80130478,1.796302061
1979-03-19,1.640287126,1.641582783,1.643690465,1.647193804,1.649674172,1.651389422,1.652170798,1.652524393,1.653310496
1979-03-20,1.520290714,1.520636052,1.521213236,1.522229474,1.523680281,1.524856784,1.525375242,1.525637173,1.526324409
1979-03-21,1.602997009,1.603003815,1.603015043,1.60303467,1.603063613,1.603087571,1.603098186,1.603103576,1.603117818
1979-03-22,1.203809642,1.204502577,1.205637693,1.207565062,1.209529035,1.211167081,1.211909519,1.212270042,1.213167612
1979-03-23,0.82351622,0.823072715,0.822340969,0.820968903,0.817052525,0.814277307,0.813141516,0.812522936,0.810740807
1979-03-24,1.717889952,1.716272045,1.713583454,1.708474613,1.692691963,1.679774287,1.674269212,1.671327381,1.663037343
1979-03-25,1.733522345,1.732836491,1.731596806,1.729047821,1.720694197,1.713667485,1.710633734,1.709013901,1.704461616
1979-03-26,1.306111063,1.307002524,1.308307902,1.310126692,1.308310684,1.30587952,1.304797849,1.304187145,1.302366311
1979-03-27,0.956959526,0.956979095,0.956985714,0.956928585,0.956235851,0.955647674,0.955395265,0.955256563,0.954855504
1979-03-28,1.948484441,1.947854734,1.946708831,1.944266266,1.935102682,1.927651516,1.924469322,1.922748414,1.917839172
1979-03-29,2.056498264,2.057219059,2.058327815,2.06002009,2.059869793,2.05937736,2.059175763,2.059034722,2.058532608
1979-03-30,1.7431067,1.745139991,1.748452014,1.753954742,1.756270021,1.755970899,1.755827033,1.75571609,1.755284856
1979-03-31,1.527557883,1.528634423,1.530453865,1.533455647,1.532413199,1.528850138,1.527200229,1.526330549,1.523923742
1979-04-01,0.910504657,0.909876015,0.908874975,0.907142985,0.903827195,0.901134666,0.899977817,0.899378229,0.897753771
1979-04-02,0.845179935,0.845168818,0.845149631,0.845114054,0.845043661,0.844989238,0.844965998,0.844953903,0.844921026
1979-04-03,1.148953198,1.148952334,1.148950925,1.148948491,1.14894487,1.148942044,1.148940821,1.1489402,1.148938562
1979-04-04,0.835953117,0.835952302,0.835950985,0.835948734,0.835945562,0.835943064,0.835941976,0.835941427,0.835939985
1979-04-05,0.696857765,0.695639651,0.693716468,0.690521182,0.686483136,0.683593811,0.68236273,0.681744273,0.680130007
1979-04-06,0.729959786,0.728287077,0.72559365,0.720911276,0.712943375,0.707145336,0.704665566,0.70336368,0.699776206
1979-04-07,0.767963366,0.76601568,0.762843196,0.757227575,0.746737414,0.738928973,0.735583164,0.733818368,0.7289319
1979-04-08,0.758152068,0.756025784,0.752555486,0.746426691,0.735337508,0.727362264,0.723974724,0.722185998,0.717223929
1979-04-09,0.994903354,0.992621042,0.988910122,0.982318033,0.969026466,0.959529308,0.955546349,0.953422945,0.94744723
1979-04-10,1.762038334,1.760502105,1.757935481,1.753119956,1.739677517,1.728656187,1.723950382,1.721455579,1.71449344
1979-04-11,1.76494254,1.763560046,1.761272414,1.757119405,1.747522473,1.739681059,1.736324718,1.734568912,1.7297479
1979-04-12,1.461710318,1.461400525,1.460874245,1.459896565,1.457622098,1.455740681,1.454930557,1.454507199,1.453347407
1979-04-13,1.359734425,1.359774389,1.359790711,1.359690552,1.358324709,1.356980684,1.356390599,1.356075642,1.355193094
1979-04-14,1.075201054,1.075296716,1.075439273,1.075653651,1.075708746,1.075719943,1.075726433,1.075726204,1.075714376
1979-04-15,0.840811783,0.840972711,0.841213754,0.841576677,0.84153822,0.841545736,0.8415713,0.841576855,0.841567408
1979-04-16,0.957905247,0.957856328,0.957719685,0.957363127,0.955784754,0.954762306,0.954378562,0.954170035,0.953576006
1979-04-17,1.401241452,1.401240482,1.401238861,1.40123598,1.401231167,1.40122737,1.401225736,1.4012249,1.401222677
1979-04-18,1.312823003,1.311908958,1.310445758,1.307979804,1.304730543,1.302195997,1.301092999,1.30053988,1.299100259
1979-04-19,1.66640136,1.659525904,1.649314859,1.633541153,1.617922809,1.606160378,1.601050673,1.598545738,1.592170231
1979-04-20,1.612963472,1.611043004,1.608614022,1.605438075,1.60281485,1.598936661,1.596943451,1.595919052,1.593142512
1979-04-21,1.084728401,1.083609455,1.08213065,1.080038074,1.077462101,1.074939595,1.073731865,1.073090279,1.071288721
1979-04-22,0.774973218,0.774244894,0.773184671,0.771541872,0.769288081,0.767938577,0.767401127,0.767116604,0.766320151
1979-04-23,0.535331721,0.534355818,0.532842831,0.530330161,0.526542644,0.524132235,0.523145233,0.522626018,0.521189706
1979-04-24,0.523209042,0.522177099,0.520517198,0.517655549,0.512787263,0.509173047,0.507644453,0.506853891,0.504714168
1979-04-25,0.775768343,0.775765932,0.775761591,0.775753118,0.775732692,0.775716954,0.775710293,0.77570678,0.775697079
1979-04-26,0.588147808,0.587869635,0.587410842,0.586600645,0.585218309,0.584110263,0.583628093,0.583379812,0.582712021
1979-04-27,1.206520555,1.205395556,1.203480899,1.199877768,1.191188224,1.184313643,1.181358232,1.179788331,1.175402107
1979-04-28,0.878814835,0.87855969,0.878136454,0.877382281,0.876025873,0.874962555,0.874503668,0.874265899,0.873621539
1979-04-29,1.366871718,1.364399508,1.360556106,1.354256793,1.34630855,1.341112277,1.338957508,1.337863675,1.334965061
1979-04-30,1.498079247,1.497024529,1.49551964,1.493160511,1.489212187,1.487221938,1.486461192,1.486023058,1.484683374
1979-05-01,2.02751114,2.025184263,2.021867626,2.016860267,2.011806614,2.009253613,2.008194529,2.00761628,2.005928106
1979-05-02,1.430165807,1.428885051,1.427044722,1.424250153,1.421101553,1.419345451,1.418637616,1.418263874,1.417215957
1979-05-03,1.094027861,1.092054815,1.089011539,1.084087622,1.078343842,1.074533064,1.072945622,1.072152701,1.070094728
1979-05-04,1.487460907,1.483974395,1.478363611,1.468665832,1.451850712,1.43952439,1.434321094,1.43161095,1.424205205
1979-05-05,2.061696071,2.059763858,2.056606775,2.050923715,2.038302375,2.028789116,2.024768218,2.022629692,2.016635222
1979-05-06,1.760181424,1.758174327,1.75495672,1.749349784,1.738646774,1.730915303,1.727668869,1.72595207,1.72117059
1979-05-07,2.01910348,2.016810618,2.013117926,2.00671263,1.994959956,1.98586147,1.981996466,1.979993018,1.974551727
1979-05-08,1.944408349,1.943005147,1.940671196,1.936278012,1.923416009,1.911870386,1.906862318,1.90423721,1.897019106
1979-05-09,2.431683292,2.433733757,2.436899457,2.441830973,2.442733608,2.441807893,2.441380556,2.441093611,2.440103065
1979-05-10,1.658050938,1.659935877,1.66287334,1.667496209,1.66839793,1.667241074,1.666696168,1.666364583,1.665305852
1979-05-11,1.610599434,1.609991591,1.609047563,1.607261476,1.598860411,1.591180545,1.587918494,1.58619881,1.581425938
1979-05-12,1.319682733,1.319320265,1.318690197,1.317262147,1.308980315,1.301370091,1.298096903,1.296348841,1.291425208
1979-05-13,1.500391624,1.499197916,1.497201174,1.493404232,1.481857671,1.472097315,1.467911849,1.465693291,1.459502714
1979-05-14,1.600239644,1.598705116,1.596157516,1.591498184,1.580413161,1.571339357,1.567449657,1.565408787,1.559786424
1979-05-15,2.321436388,2.321436237,2.321435874,2.321434933,2.321430256,2.321426311,2.321424651,2.321423767,2.321421292
1979-05-16,1.735455881,1.735813777,1.736191247,1.736274442,1.730229249,1.723661484,1.720754244,1.719214286,1.714932704
1979-05-17,1.430559493,1.430854735,1.431206656,1.431516452,1.429628101,1.427376779,1.426360163,1.42582097,1.424327126
1979-05-18,0.916647824,0.916334688,0.915780758,0.914714821,0.912232926,0.910085933,0.909144667,0.90865404,0.907317134
1979-05-19,0.753163051,0.752436534,0.751202651,0.748908348,0.74367576,0.739442826,0.737620483,0.736662608,0.734019979
1979-05-20,1.02898595,1.028255989,1.027026663,1.024763424,1.019859123,1.016166531,1.01459663,1.013763961,1.011441906
1979-05-21,2.032753464,2.034048915,2.036077165,2.039287971,2.04056491,2.041176721,2.041462586,2.041552411,2.041603294
1979-05-22,2.203652039,2.205669492,2.208825493,2.213909624,2.217717003,2.219640536,2.220432407,2.220791938,2.221604437
1979-05-23,1.665274187,1.666347671,1.668060692,1.670875263,1.673127936,1.674410992,1.674959498,1.675216109,1.675826024
1979-05-24,1.808938425,1.8088898,1.808818122,1.808709844,1.808640175,1.808596886,1.808578028,1.808569707,1.808551686
1979-05-25,1.365015448,1.36551298,1.366461204,1.368172892,1.369578143,1.370088982,1.370206889,1.370223914,1.370120719
1979-05-26,1.077808855,1.077665571,1.077585634,1.0776929,1.078748333,1.079509557,1.079803095,1.079956611,1.080374513
1979-05-27,0.957385837,0.95718525,0.956921265,0.956523241,0.955111317,0.95403605,0.953610568,0.953384238,0.952753208
