Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
1951-05-01,182.9269951,190.8071143,185.5028497,179.8483611,182.7418803,201.6839691,203.8400302,198.7993275,193.0535854
1951-05-02,194.3134278,198.5923836,190.6219822,186.3721165,180.1148767,186.6464477,186.5766921,176.8121647,170.2064292
1951-05-03,195.0087971,199.1602404,191.1574169,186.5860835,180.3980638,186.6432293,186.484537,176.670211,170.1492324
1951-05-04,195.7462265,199.7070988,191.7090659,186.956026,180.8475005,186.7092425,186.4990443,176.6367586,170.1929487
1951-05-05,194.966058,199.7023228,191.4124554,184.685032,178.7446355,185.8928873,185.2543897,175.3756065,169.1307212
1951-05-06,194.3789114,199.4761297,191.2222023,183.6862256,178.0762362,185.9328973,185.2219742,175.4609312,169.3760709
1951-05-07,194.0154078,199.2578145,191.1241486,183.268513,177.9594366,186.1656934,185.4900124,175.8489807,169.8991428
1951-05-08,194.9734651,199.4553089,191.747625,185.3459422,180.275687,187.280428,187.0337847,177.506939,171.5875268
1951-05-09,194.2633794,199.1180241,191.5155,184.3869583,179.7788899,187.5794461,187.3658022,178.0199904,172.2666126
1951-05-10,193.4112971,198.9564009,191.0900406,182.2896837,177.7715577,186.7403578,186.1610174,176.7931121,171.2295068
1951-05-11,193.754382,199.1139688,191.2541392,182.5077607,177.9172328,186.5656657,185.9389386,176.5172796,171.0393377
1951-05-12,194.5547869,199.4499199,191.6724744,183.4431256,178.7507556,186.6124613,186.0236019,176.5327506,171.1055775
1951-05-13,196.1916817,200.1073247,192.5975297,185.8571672,181.089077,187.2696304,186.962716,177.4103658,171.9711596
1951-05-14,196.8554723,200.4911767,193.0735769,186.5073977,181.8479734,187.5334054,187.2883815,177.7266698,172.3543853
1951-05-15,197.9166121,201.0037288,193.7980519,187.958537,183.4478406,188.1915226,188.1603094,178.6144983,173.2771016
1951-05-16,198.0558807,201.2460387,194.0541601,187.7441449,183.4731685,188.3497277,188.3029631,178.7960509,173.5663162
1951-05-17,198.3739838,201.6562353,194.3630811,187.3924644,183.1970036,188.15687,187.9611656,178.4087406,173.2806424
1951-05-18,199.0180499,202.2249114,194.82941,187.4005629,183.174799,187.9097597,187.5323757,177.8799907,172.8232657
1951-05-19,199.6120265,202.7017558,195.2980901,187.6070616,183.4602943,187.9715249,187.5132947,177.8371697,172.8536318
1951-05-20,198.8506946,202.7416919,195.0053266,185.2735386,181.2234524,187.051375,186.0889938,176.3701417,171.5573464
1951-05-21,197.7786039,202.5153661,194.4836094,182.8424643,178.8778453,186.1117389,184.6765496,174.944069,170.3129331
1951-05-22,197.2863019,202.2822645,194.1610638,181.7860714,177.806982,185.585893,183.9260306,174.1811718,169.674806
1951-05-23,196.3504837,201.834391,193.5249894,180.0845529,176.0159051,184.6695615,182.6893367,172.9013685,168.5499138
1951-05-24,197.4087883,201.8862193,193.9593639,182.6403825,178.3942043,185.317252,183.7479846,173.9402618,169.5726186
1951-05-25,201.5176004,203.0752733,196.2348091,190.5955038,186.3026589,188.2697375,188.0453348,178.2611943,173.6504151
1951-05-26,201.4597196,203.2927362,196.3422222,189.7087078,185.5392437,187.8503759,187.3656888,177.5029669,173.0079229
1951-05-27,202.6993616,203.9756385,197.1847095,191.2159364,187.1501943,188.4227622,188.1177781,178.222121,173.7439451
1951-05-28,202.800977,204.2403022,197.4523524,190.8935979,187.1020429,188.5997327,188.2559028,178.4051148,174.0291279
1951-05-29,202.3099753,204.439487,197.3217428,188.854942,185.1661256,187.788401,187.0088481,177.1014539,172.8830237
1951-05-30,202.4174546,204.8179612,197.4857297,187.9606991,184.2622676,187.2351502,186.1610471,176.1560989,172.0399555
1951-05-31,203.2542005,205.3939739,198.0412503,188.5727159,184.8249437,187.2224795,186.1035912,176.0056894,171.9310323
1951-06-01,204.2686774,206.0551052,198.6909811,189.3765416,185.555386,187.2267008,186.0676766,175.8583776,171.8135388
1951-06-02,204.7539036,206.5120895,199.0644396,189.3019497,185.4856841,187.022396,185.7182815,175.4298756,171.4570713
1951-06-03,204.967616,206.7764818,199.3083315,189.1070319,185.4090407,186.9948192,185.6061792,175.3069328,171.4202391
1951-06-04,205.6853748,207.1692707,199.8292196,189.9700478,186.3954833,187.4055648,186.1289943,175.8359104,171.9934779
1951-06-05,205.6226115,207.2961489,199.9301695,189.432754,186.0541325,187.3873491,186.0244863,175.7600787,172.0234845
1951-06-06,207.2598098,207.9363262,200.9578009,192.0658273,188.8263785,188.5392228,187.5913133,177.3604107,173.5952907
1951-06-07,202.3792271,206.6126735,198.3423406,182.189126,179.2453508,184.9929131,182.4474981,172.2197783,168.9536867
1951-06-08,196.7229254,204.4265096,195.0414932,172.1001293,169.2489631,181.1806096,176.957001,166.7707633,163.9953982
1951-06-09,194.829563,202.576434,193.2486403,171.0782708,167.4946543,179.8999994,175.4101283,165.2453965,162.5702585
1951-06-10,196.2272756,201.784315,193.2791591,176.4110921,171.9576132,180.9078081,177.2034834,167.056875,164.2187201
1951-06-11,196.6485058,201.3084487,193.1676845,178.518897,173.6917093,181.2358418,177.8369531,167.7113557,164.8536832
1951-06-12,197.3535784,201.1218989,193.3499965,180.7565065,175.7151294,181.8138006,178.7761337,168.682262,165.805082
1951-06-13,198.8572312,201.38167,194.1132371,184.2040407,179.0752559,183.0139853,180.5735768,170.518699,167.5781639
1951-06-14,199.0004704,201.3505654,194.2621851,184.7954079,179.8383916,183.4683897,181.2152007,171.2377426,168.3578349
