Datetime,Transect1,Transect2,Transect3,Transect4,Transect5,Transect6,Transect7,Transect8,Transect9
2019-01-01,196.6959677,195.9504746,195.2810488,194.7594654,192.6405796,193.5610091,191.9004017,186.3369634,192.2159112
2019-01-02,196.7343252,195.9706102,195.4632197,195.1075705,193.287789,194.2704165,192.7632013,187.3549654,193.2338779
2019-01-03,195.8683093,195.7163838,195.1305488,193.6380088,192.118582,194.260335,192.5844283,187.3155133,193.266612
2019-01-04,195.2315196,195.4980331,194.8685729,192.6686577,191.3389332,194.2624074,192.4736662,187.3062773,193.3020148
2019-01-05,194.6150424,195.2158269,194.589665,191.988055,190.8262872,194.354922,192.5379672,187.4750567,193.5042922
2019-01-06,195.0202103,195.2476519,194.817042,193.0951289,191.9687419,194.9303355,193.3263396,188.3283239,194.3149726
2019-01-07,196.1248067,195.6353576,195.4284536,195.0236881,193.8373323,195.6007108,194.2616068,189.2548667,195.159727
2019-01-08,196.0430851,195.6707235,195.4502974,194.7965738,193.720651,195.6710331,194.3240158,189.3422433,195.2629752
2019-01-09,195.6146281,195.5079577,195.2786081,194.2040867,193.3039895,195.7137922,194.3581283,189.4302548,195.3838027
2019-01-10,196.0026245,195.5895579,195.5245718,195.1162208,194.3149938,196.2169579,195.0816867,190.1856458,196.1082564
2019-01-11,196.0134561,195.6166382,195.5590753,195.04523,194.3241986,196.273389,195.1567931,190.2640347,196.1992028
2019-01-12,195.969541,195.5888826,195.578962,195.0424045,194.4609944,196.4700323,195.4282515,190.5721927,196.5194923
2019-01-13,196.1177631,195.5764407,195.7371305,195.659052,195.3017555,197.0713872,196.2748051,191.504818,197.4450539
2019-01-14,195.1014801,195.2374175,195.2242389,193.7865062,193.631695,196.6400519,195.6229765,190.9045538,196.9387271
2019-01-15,193.6664369,194.7331753,194.4157199,191.1799743,191.1086105,195.7241741,194.3246966,189.611602,195.763322
2019-01-16,193.8802001,194.5940041,194.4700313,192.1688595,192.0998377,196.162932,194.9973588,190.3287398,196.4486503
2019-01-17,193.88765,194.4574862,194.4751747,192.6281847,192.6567562,196.5642537,195.5459607,190.9557789,197.0666304
2019-01-18,193.7321708,194.3492087,194.4548959,192.6939305,192.8699531,196.9188375,195.9623723,191.4733978,197.5870389
2019-01-19,194.4774536,194.5750635,194.9843931,194.4068116,194.7506471,198.0149153,197.3749805,193.0289628,199.0746314
2019-01-20,195.3808343,195.0505877,195.6493862,195.8581782,196.3180249,198.882306,198.4206312,194.160116,200.1372357
2019-01-21,197.0586059,195.9427382,196.7254346,198.1635386,198.595206,199.7660782,199.5294494,195.2532714,201.1160224
2019-01-22,196.1330895,195.8616629,196.3791873,196.0387083,196.7038026,199.3149648,198.7399965,194.5217922,200.4771272
2019-01-23,195.9442318,195.7901977,196.3535261,195.9060343,196.7712144,199.5761682,199.098971,194.94493,200.9226092
2019-01-24,195.4920871,195.5541,196.0905136,195.2058088,196.2259193,199.4899567,199.0354647,194.9083077,200.9377745
2019-01-25,194.7866079,195.3743376,195.5729128,193.3536939,194.2296348,198.3527673,197.553375,193.2708164,199.3807166
2019-01-26,195.5809488,195.5487847,195.9075001,194.8931059,195.6509224,198.6687062,198.1505624,193.7899057,199.8446717
2019-01-27,194.5098911,195.0992575,195.3543868,193.2856389,194.2795769,198.3813261,197.759175,193.4588916,199.5935814
2019-01-28,194.2871762,195.0344888,195.20403,192.7429098,193.6936819,198.067872,197.309063,192.9671136,199.1172328
2019-01-29,194.6387312,195.2014176,195.3828398,193.2257225,194.071448,198.0915464,197.3216418,192.9367461,199.0573947
2019-01-30,193.3263825,194.7653909,194.7268374,191.0599901,192.0548613,197.5198446,196.4332385,192.1044745,198.3090627
2019-01-31,192.5737668,194.3283318,194.2925472,190.2978903,191.3756223,197.506216,196.3601127,192.1404559,198.3843619
2019-02-01,192.042882,194.0164495,193.8908654,189.5094979,190.4454282,197.0802612,195.7147593,191.5019617,197.7726835
2019-02-02,192.1644172,193.9567665,193.8002771,189.7605634,190.4052355,196.7786028,195.2937709,191.0216757,197.2626093
2019-02-03,192.6065433,193.9351534,193.9502105,191.0450647,191.5404284,197.1488791,195.8340806,191.5815992,197.7625079
2019-02-04,193.25703,194.0295729,194.2798762,192.6540544,193.1054926,197.7980905,196.7459209,192.539168,198.6520162
2019-02-05,193.9969075,194.2138848,194.7177625,194.2874724,194.794351,198.5837388,197.828383,193.6796396,199.7252764
2019-02-06,193.6639287,194.1275205,194.5799949,193.6420675,194.2593512,198.5171907,197.6803726,193.5667179,199.6401253
2019-02-07,192.6729456,193.8451823,194.0159914,191.6305469,192.2496573,197.7038495,196.5167127,192.3745969,198.5299557
2019-02-08,192.8615366,193.8041324,194.0488434,192.2361278,192.7720748,197.8087504,196.7243189,192.5638814,198.6936764
2019-02-09,193.7995557,193.9827975,194.5441393,194.3991783,194.9401596,198.6786882,198.0157713,193.882059,199.929027
2019-02-10,194.3313201,194.1478063,194.8651903,195.4367154,196.0587189,199.1942679,198.7669716,194.6526964,200.6670781
2019-02-11,194.1053407,194.1987247,194.7445187,194.5413825,195.1676464,198.7663991,198.1742942,194.0063172,200.064391
2019-02-12,193.7694949,194.0862704,194.5622647,193.831499,194.5369042,198.5617502,197.8875843,193.7182731,199.8134653
2019-02-13,192.3197886,193.5166189,193.7610854,191.4057072,192.2911102,197.8898661,196.9379422,192.8206323,199.0314687
2019-02-14,192.3904218,193.4499538,193.7017679,191.6559715,192.4325392,197.809848,196.8988673,192.7488952,198.953661
2019-02-15,194.9283011,194.3108139,195.0491885,196.1597929,196.7168024,199.2124344,198.9469503,194.7341871,200.7443945
2019-02-16,194.6282342,194.4122924,195.033726,195.2623678,196.0081076,199.1739697,198.7660015,194.6050707,200.6535439
2019-02-17,193.4898436,194.2198742,194.5800686,192.9606203,193.9459997,198.738699,197.9475888,193.887572,200.0316504
2019-02-18,193.0509024,194.1437889,194.4800719,192.3205229,193.4799128,198.9178655,198.0139109,194.0809708,200.2466679
2019-02-19,193.1604466,194.1567775,194.641657,192.8918492,194.1908042,199.5298019,198.7390309,194.9373124,201.0762399
2019-02-20,192.9650918,194.0826611,194.5495756,192.5737341,193.9006103,199.5219687,198.6491105,194.8896382,201.0390897
2019-02-21,192.6117902,193.9227351,194.2695568,191.9004474,193.1256293,199.0601224,198.0520539,194.2392291,200.4152421
2019-02-22,192.8197972,193.7927456,194.2476605,192.6679242,193.7924309,199.1471918,198.3304801,194.4736013,200.628016
2019-02-23,191.4895244,193.2115144,193.3463269,190.2122271,191.2491364,197.9489864,196.7636138,192.823415,199.0896553
2019-02-24,190.0916059,192.5380979,192.3230024,187.7261499,188.5381696,196.5607487,194.9462532,190.9029768,197.2733409
2019-02-25,190.1316592,192.2495897,192.0341057,188.1270511,188.5491163,196.1192553,194.4845164,190.3410426,196.6831416
2019-02-26,190.770097,192.2703679,192.172578,189.5875455,189.6686865,196.1872713,194.6970969,190.476915,196.7445368
2019-02-27,192.033884,192.6197457,192.7882042,192.1360593,191.998892,196.8733059,195.7293291,191.4708335,197.6235045
2019-02-28,192.7418085,192.9208393,193.2047447,193.3371151,193.1615497,197.2964073,196.309857,192.0460697,198.1439512
2019-03-01,192.5989092,192.9943481,193.1808896,192.8023864,192.666094,197.1527718,196.0444464,191.7854211,197.9024733
2019-03-02,192.865657,193.1330623,193.3954006,193.3236556,193.2560888,197.4994918,196.4806831,192.2626388,198.3587968
2019-03-03,191.8454311,192.8205162,192.904565,191.4558915,191.5587001,197.0864344,195.7829776,191.6387118,197.8146119
